nome,status flora brasil,nome flora brasil,status plantlist,plantlist,flora brasil x plantlist
Dicliptera ciliaris Juss.,,Dicliptera ciliaris Juss.,,Dicliptera ciliaris Juss.,
Dyschoriste maranhonis Kuntze,,Dyschoriste maranhonis (Nees) Kuntze,,Dyschoriste maranhonis (Nees) Kuntze,
Hygrophila costata Nees,,Hygrophila costata Nees,,Hygrophila costata Nees,
Hygrophila guianensis Nees,,Hygrophila guianensis Nees ex Benth.,sinonimo,Hygrophila costata Nees,diferente
Hygrophila helodes Nees ,nao_encontrado,,sinonimo,Hygrophila costata Nees,
Justicia comata (L.) Lam.,,Justicia comata (L.) Lam.,,Justicia comata (L.) Lam.,
Justicia aequilabris (Nees) Lindau,,Justicia aequilabris (Nees) Lindau,,Justicia aequilabris (Nees) Lindau,
Justicia laevilinguis (Nees) Lindau,,Justicia laevilinguis (Nees) Lindau,,Justicia laevilinguis (Nees) Lindau,
Justia pectoralis Jacq.,nao_encontrado,,nao_encontrado,,
Nelsonia brunelloides (Lam.) Kuntz,sinonimo,Nelsonia canescens (Lam.) Spreng.,sinonimo,Nelsonia canescens (Lam.) Spreng.,
Ruellia bahiensis (Nees) Morong,,Ruellia bahiensis (Nees) Morong,,Ruellia bahiensis (Nees) Morong,
Ruellia paniculata L. ,,Ruellia paniculata L.,sinonimo,Barleria tomentosa Roth,diferente
Sesuvium portulacastrum (L.) L. ,,Sesuvium portulacastrum (L.) L.,,Sesuvium portulacastrum (L.) L.,
Echinodorus andrieuxii (Hook et Arn.) Smal,sinonimo,Echinodorus subalatus (Mart.) Griseb.,sinonimo,Echinodorus subalatus (Mart. ex Schult.f.) Griseb.,diferente
Echinodorus argentinensis Rataj.,sinonimo,Echinodorus grandiflorus (Cham. & Schltr.) Micheli,sinonimo,Echinodorus grandiflorus (Cham. & Schltdl.) Micheli,diferente
Echinodorus aschersonianus Graebn.,,Echinodorus aschersonianus Graebn.,sinonimo,Echinodorus uruguayensis Arechav.,diferente
Echinodorus bolivianus (Rusby) Hom-Niels,sinonimo,Helanthium bolivianum (Rusby) Lehtonen & Myllys,sinonimo,Helanthium bolivianum (Rusby) Lehtonen & Myllys,
Echinodorus cordifolius (L.) Griseb. ,nao_encontrado,,,Echinodorus cordifolius (L.) Griseb.,
Echinodorus floribundus (Seub.) Seub.,,Echinodorus floribundus (Seub.) Seub.,,Echinodorus floribundus (Seub.) Seub.,
Echinodorus glandulosus Rataj,,Echinodorus glandulosus Rataj,,Echinodorus glandulosus Rataj,
Echinodorus grandiflorus (Cham. & Schltdl.) Micheli,,Echinodorus grandiflorus (Cham. & Schltr.) Micheli,,Echinodorus grandiflorus (Cham. & Schltdl.) Micheli,diferente
Echinodorus grisebachii Small,,Echinodorus grisebachii Small,,Echinodorus grisebachii Small,
Echinodorus lanceolatus Rataj,,Echinodorus lanceolatus Rataj,,Echinodorus lanceolatus Rataj,
Echinodorus longipetalus Micheli,,Echinodorus longipetalus Micheli,,Echinodorus longipetalus Micheli,
Echinodorus longiscapus Arech.,,Echinodorus longiscapus Arechav.,,Echinodorus longiscapus Arechav.,
Echinodorus macrophyllus (Kunth) Micheli ,,Echinodorus macrophyllus (Kunth) Micheli,,Echinodorus macrophyllus (Kunth) Micheli,
Echinodorus palaefolius (Nees & Mart.) J.F. Macbr. ,,Echinodorus palaefolius (Ness & Mart.) J.F. Macbr.,nao_encontrado,,diferente
Echinodorus paniculatus Micheli,,Echinodorus paniculatus Micheli,,Echinodorus paniculatus Micheli,
Echinodorus pubescens (Mart.) Seub. and Warm.,,Echinodorus pubescens (Mart.) Seub. ex Warm.,,Echinodorus pubescens (Mart. ex Schult.f.) Seub. ex Warm.,diferente
Echinodorus ranunculoides (L.) Engelm.,nao_encontrado,,sinonimo,Baldellia ranunculoides (L.) Parl.,
Echinodorus reticulatus R.R. Haynes and Holm-Niels.,,Echinodorus reticulatus R.R.Haynes & Holm-Niels.,sinonimo,Echinodorus longipetalus Micheli,diferente
Echinodorus scaber Rataj,,Echinodorus scaber Rataj,,Echinodorus scaber Rataj,
Echinodorus subalatus (Mart.) Griseb.,,Echinodorus subalatus (Mart.) Griseb.,,Echinodorus subalatus (Mart. ex Schult.f.) Griseb.,diferente
Echinodorus tenellus (Mart. ex Schult. & Schult. f.) Buchenau ,sinonimo,Helanthium tenellum (Martius) Britton,sinonimo,Helanthium tenellum (Mart. ex Schult.f.) J.G.Sm.,diferente
Echinodorus teretoscapus R.R.Haynes & Holm-Niels. ,sinonimo,Echinodorus glaucus Rataj,sinonimo,Echinodorus glaucus Rataj,
Helanthium tenellum (Mart.) Britton,,Helanthium tenellum (Martius) Britton,,Helanthium tenellum (Mart. ex Schult.f.) J.G.Sm.,diferente
Hydrocleys martii Seub. ,,Hydrocleys martii Seub.,,Hydrocleys martii Seub.,
Hydrocleys nymphoides (Willd.) Buchenau,,Hydrocleys nymphoides (Willd.) Buchenau,,Hydrocleys nymphoides (Humb. & Bonpl. ex Willd.) Buchenau,diferente
Hydrocleys parviflora Seub.,,Hydrocleys parviflora Seub.,,Hydrocleys parviflora Seub.,
Limnocharis flava (L.) Buchenau,,Limnocharis flava (L.) Buchenau,,Limnocharis flava (L.) Buchenau,
Limnocharis laforestii Griseb. ,sinonimo,Limnocharis laforesti Duchass. ex Griseb.,,Limnocharis laforestii Duchass. ex Griseb.,diferente
Sagittaria guayanensis Kunth ,,Sagittaria guayanensis Kunth,,Sagittaria guayanensis Kunth,
Sagittaria lancifolia L. ,,Sagittaria lancifolia L.,sinonimo,Sagittaria sagittifolia L.,diferente
Sagittaria montevidensis Cham. & Schltdl.,,Sagittaria montevidensis Cham. & Schltdl.,,Sagittaria montevidensis Cham. & Schltdl.,
Sagittaria planitiana G. Agostini,,Sagittaria planitiana G.Agostini,,Sagittaria planitiana G.Agostini,
Sagittaria rhombifolia Cham.,,Sagittaria rhombifolia Cham.,,Sagittaria rhombifolia Cham.,
Sagittaria sprucei Micheli,,Sagittaria sprucei Micheli,,Sagittaria sprucei Micheli,
Alstroemeria isabellana Herb. ,sinonimo,Alstroemeria isabelleana Herb.,,Alstroemeria isabellana Herb.,diferente
Alternanthera aquatica (Parodi) Chodat ,,Alternanthera aquatica (D.Parodi) Chodat,,Alternanthera aquatica (Parodi) Chodat,diferente
Alternanthera brasiliana (L.) Kuntze ,,Alternanthera brasiliana (L.) Kuntze,,Alternanthera brasiliana (L.) Kuntze,
Alternanthera paronychioides A. St.-Hil.,,Alternanthera paronychioides A.St.-Hil.,,Alternanthera paronychioides A.St.-Hil.,
Alternanthera philoxeroides (Mart.) Griseb.,,Alternanthera philoxeroides (Mart.) Griseb.,,Alternanthera philoxeroides (Mart.) Griseb.,
Alternanthera pilosa Moq.,,Alternanthera pilosa Moq.,Não resolvido,Alternanthera pilosa Moq.,
Alternanthera tenella Colla,,Alternanthera tenella Colla,sinonimo,Alternanthera ficoidea (L.) Sm.,diferente
Amaranthus spinosus L.,,Amaranthus spinosus L.,,Amaranthus spinosus L.,
Amaranthus viridis L.,,Amaranthus viridis L.,,Amaranthus viridis L.,
Atriplex montevidensis Spr.,nao_encontrado,,,Atriplex montevidensis Spreng.,
Atriplex undulata (Moq.) Dietr.,nao_encontrado,,,Atriplex undulata (Moq.) D.Dietr.,
Blutaparon portulacoides (A. St.-Hil.) Mears ,,Blutaparon portulacoides (A.St.-Hil.) Mears,,Blutaparon portulacoides (A.St.-Hil.) Mears,
